Year,Name,Nationallity,Club,Overall
2015,L. Messi,Argentina,FC Barcelona,93
2015,Cristiano Ronaldo,Portugal,Real Madrid,92
2015,R. Lewandowski,Poland,FC Bayern München,87
2015,Sergio Ramos,Spain,Real Madrid,87
2015,Neymar,Brazil,FC Barcelona,86
2015,Thiago,Spain,FC Bayern München,81
2015,K. De Bruyne,Belgium,VfL Wolfsburg,81
2015,M. Salah,Egypt,Chelsea,76
2015,V. van Dijk,Netherlands,Celtic,75
2015,S. Mané,Senegal,Southampton,74
2016,L. Messi,Argentina,FC Barcelona,94
2016,Cristiano Ronaldo,Portugal,Real Madrid,93
2016,Neymar,Brazil,FC Barcelona,88
2016,R. Lewandowski,Poland,FC Bayern München,87
2016,Sergio Ramos,Spain,Real Madrid,87
2016,K. De Bruyne,Belgium,Manchester City,86
2016,Thiago,Spain,FC Bayern München,83
2016,M. Salah,Egypt,Roma,80
2016,S. Mané,Senegal,Southampton,78
2017,Cristiano Ronaldo,Portugal,Real Madrid,94
2017,L. Messi,Argentina,FC Barcelona,93
2017,Neymar,Brazil,FC Barcelona,92
2017,R. Lewandowski,Poland,FC Bayern München,90
2017,Sergio Ramos,Spain,Real Madrid,89
2017,K. De Bruyne,Belgium,Manchester City,88
2017,Thiago,Spain,FC Bayern München,84
2017,M. Salah,Egypt,Roma,81
2017,S. Mané,Senegal,Liverpool,79
2017,V. van Dijk,Netherlands,Southampton,79
2018,Cristiano Ronaldo,Portugal,Real Madrid,94
2018,L. Messi,Argentina,FC Barcelona,93
2018,Neymar,Brazil,Paris Saint-Germain,92
2018,R. Lewandowski,Poland,FC Bayern München,91
2018,Sergio Ramos,Spain,Real Madrid,90
2018,K. De Bruyne,Belgium,Manchester City,89
2018,Thiago,Spain,FC Bayern München,88
2018,S. Mané,Senegal,Liverpool,84
2018,K. Mbappé,France,Paris Saint-Germain,83
2018,V. van Dijk,Netherlands,Southampton,83
2018,M. Salah,Egypt,Liverpool,83
2019,Cristiano Ronaldo,Portugal,Juventus,94
2019,L. Messi,Argentina,FC Barcelona,94
2019,Neymar,Brazil,Paris Saint-Germain,92
2019,K. De Bruyne,Belgium,Manchester City,91
2019,Sergio Ramos,Spain,Real Madrid,91
2019,R. Lewandowski,Poland,FC Bayern München,90
2019,M. Salah,Egypt,Liverpool,88
2019,K. Mbappé,France,Paris Saint-Germain,87
2019,S. Mané,Senegal,Liverpool,86
2019,Thiago,Spain,FC Bayern München,86
2019,V. van Dijk,Netherlands,Liverpool,85
2020,L. Messi,Argentina,FC Barcelona,94
2020,Cristiano Ronaldo,Portugal,Juventus,93
2020,Neymar,Brazil,Paris Saint-Germain,92
2020,K. De Bruyne,Belgium,Manchester City,91
2020,V. van Dijk,Netherlands,Liverpool,90
2020,M. Salah,Egypt,Liverpool,90
2020,K. Mbappé,France,Paris Saint-Germain,89
2020,Sergio Ramos,Spain,Real Madrid,89
2020,R. Lewandowski,Poland,FC Bayern München,89
2020,S. Mané,Senegal,Liverpool,88
2020,Thiago,Spain,FC Bayern München,87
