sofifa_id,short_name,long_name,nationality,club,overall,preferred_foot,team_position,pace,shooting,passing,dribbling,defending,physic,year
158023,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,FC Barcelona,93,Left,CF,93,89,86,96,27,63,2015
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,Real Madrid,92,Right,LW,93,93,81,91,32,79,2015
188545,R. Lewandowski,Robert Lewandowski,Poland,FC Bayern München,87,Right,LS,80,84,74,85,39,78,2015
155862,Sergio Ramos,Sergio Ramos García,Spain,Real Madrid,87,Right,LCB,79,61,71,66,87,82,2015
190871,Neymar,Neymar da Silva Santos Junior,Brazil,FC Barcelona,86,Right,LW,90,80,72,92,30,58,2015
189509,Thiago,Thiago Alcântara do Nascimento,Spain,FC Bayern München,81,Right,SUB,72,72,79,87,57,65,2015
192985,K. De Bruyne,Kevin De Bruyne,Belgium,VfL Wolfsburg,81,Right,LM,77,80,80,82,41,69,2015
209331,M. Salah,Mohamed  Salah Ghaly,Egypt,Chelsea,76,Left,SUB,93,65,70,83,48,64,2015
203376,V. van Dijk,Virgil van Dijk,Netherlands,Celtic,75,Right,LCB,70,58,60,68,75,82,2015
208722,S. Mané,Sadio Mané,Senegal,Southampton,74,Right,SUB,90,70,69,78,34,61,2015
